review_id,order_id,product_id,customer_id,rating,product_name,review_content,review_content_vec,review_date,is_verified_purchase
"R001","O001","P001","C001","5","品牌:TechZen 类型:智能手机 商品名:ZenPhone Pro 256GB","手机很棒，拍照效果非常好，系统流畅，值得购买！","","2024-01-20 10:00:00",TRUE
"R002","O006","P004","C006","4","品牌:DigitalWave 类型:平板电脑 商品名:SmartPad Elite","平板屏幕清晰，性能不错，就是价格有点贵","","2024-01-30 14:30:00",TRUE
"R003","O008","P008","C001","5","品牌:ProTech 类型:笔记本电脑 商品名:BusinessLaptop X1","笔记本性能强劲，屏幕显示效果很好，办公游戏都很棒","","2024-02-05 09:15:00",TRUE
"R004","O003","P005","C003","2","品牌:TechZen 类型:蓝牙耳机 商品名:SoundBuds Pro 2","耳机连接不稳定，经常断连，音质也不如宣传的那么好，准备退货","","2024-01-25 16:20:00",TRUE
"R005","O007","P006","C007","1","品牌:AudioMax 类型:蓝牙耳机 商品名:AudioMax WX-2000","耳机质量有问题，用了两天就出现杂音，非常失望","","2024-02-02 11:45:00",TRUE
"R006","O010","P005","C009","5","品牌:TechZen 类型:蓝牙耳机 商品名:SoundBuds Pro 2","SoundBuds音质很好，佩戴舒适，降噪效果不错，非常满意","","2024-02-10 14:20:00",TRUE
"R007","O012","P007","C011","4","品牌:TechZen 类型:笔记本电脑 商品名:PowerBook Pro 14寸","PowerBook性能强大，做设计很流畅，就是发热有点大","","2024-02-15 16:30:00",TRUE
"R008","O014","P006","C013","5","品牌:AudioMax 类型:蓝牙耳机 商品名:AudioMax WX-2000","AudioMax耳机音质一流，降噪效果很棒，强烈推荐！","","2024-02-20 11:15:00",TRUE
"R009","O009","P001","C008","3","品牌:TechZen 类型:智能手机 商品名:ZenPhone Pro 256GB","手机整体不错，但电池续航一般，一天需要充两次电","","2024-02-08 13:45:00",TRUE
"R010","O011","P002","C010","2","品牌:FlashTech 类型:智能手机 商品名:FlashMobile Ultra 512GB","FlashMobile手机系统有时卡顿，相机效果也不如宣传的好","","2024-02-12 10:30:00",TRUE
"R011","O013","P003","C012","4","品牌:TechZen 类型:平板电脑 商品名:TabletMax Pro 12.9寸","TabletMax屏幕质量很好，适合看视频和办公，就是存储空间有点小","","2024-02-17 15:20:00",TRUE
"R012","O015","P008","C014","1","品牌:ProTech 类型:笔记本电脑 商品名:BusinessLaptop X1","笔记本键盘有问题，多个按键失灵，影响正常使用","","2024-02-22 09:40:00",TRUE